Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.00220035, 0.000819344, 0.00137507, 9.4997e-05, 584, 20346, 1848
0.00315388, 0.00158169, 0.00156625, 0.000160305, 606, 20192, 2211
0.00186905, 0.00084428, 0.00102121, 9.0244e-05, 602, 20021, 1749
0.00196049, 0.00091434, 0.00104258, 7.8372e-05, 636, 21024, 1485
0.00247109, 0.00117439, 0.00129314, 0.000115184, 598, 19875, 1914
0.00203292, 0.00100221, 0.00102596, 9.9748e-05, 617, 20722, 2112
0.00252572, 0.00123376, 0.00128839, 9.2625e-05, 625, 21007, 1551
0.00188449, 0.000882279, 0.00099865, 0.000104503, 582, 20062, 1947
0.00177168, 0.000841905, 0.000926214, 6.0556e-05, 593, 20244, 1188
0.00184293, 0.000872779, 0.000966587, 8.6685e-05, 620, 20621, 1485
0.0020638, 0.000875154, 0.00118389, 9.2622e-05, 589, 20628, 1782
0.00276083, 0.00132757, 0.00142851, 0.000119937, 647, 21574, 2046
0.00194149, 0.000891778, 0.00104733, 8.9052e-05, 610, 20458, 1914
0.00195811, 0.000945214, 0.00100934, 7.7183e-05, 629, 20861, 1584
0.00178593, 0.000820531, 0.000960651, 8.4311e-05, 609, 20426, 1617
0.00344718, 0.00206142, 0.00137864, 0.000116373, 578, 20108, 1584
0.00226923, 0.0010224, 0.00124326, 7.125e-05, 592, 20361, 1122
0.00375473, 0.00201986, 0.00173012, 0.000156753, 611, 20301, 2046
0.0028582, 0.0016945, 0.00115895, 0.000135373, 571, 18969, 1848
0.00214217, 0.00102952, 0.0011079, 9.1439e-05, 637, 21341, 1914
0.0018358, 0.00090959, 0.000921465, 7.4808e-05, 607, 19943, 1650
0.00367517, 0.00207211, 0.00159831, 0.00012112, 609, 19858, 1617
0.00207092, 0.000906028, 0.00116133, 9.6183e-05, 609, 20689, 1749
0.00243666, 0.00118983, 0.00124326, 9.1429e-05, 585, 20414, 1485
0.00250315, 0.00120883, 0.0012872, 9.0245e-05, 596, 20260, 1386
0.00195099, 0.000850217, 0.00109721, 7.5998e-05, 607, 20110, 1419
0.00204005, 0.000894153, 0.00114233, 5.5809e-05, 568, 18984, 825
0.00353624, 0.00211367, 0.00141782, 0.000117559, 619, 20656, 1650
0.00228466, 0.00113639, 0.00114352, 9.2618e-05, 612, 19677, 1650
0.00261715, 0.00134657, 0.00126583, 8.5497e-05, 617, 20399, 1386
0.00186074, 0.000895341, 0.000959463, 7.3623e-05, 618, 20536, 1485
0.00179543, 0.000794407, 0.000996274, 6.65e-05, 593, 20269, 1188
0.00186905, 0.000815781, 0.00104971, 0.000100932, 594, 20219, 1848
0.00201036, 0.000873966, 0.00113164, 8.3123e-05, 604, 20125, 1485
0.00157931, 0.000765908, 0.000807469, 7.1246e-05, 562, 18646, 1221
0.00188093, 0.000877529, 0.000999836, 9.9745e-05, 637, 20994, 1914
0.00241053, 0.00114945, 0.00125633, 0.000102124, 611, 20300, 1650
0.00347687, 0.00193911, 0.00153419, 0.000109246, 619, 20295, 1551
0.0022431, 0.00105802, 0.00118152, 9.6184e-05, 623, 20991, 1782
0.00196167, 0.000897715, 0.0010604, 7.006e-05, 592, 20251, 1188
0.00241884, 0.0011827, 0.00123258, 7.9559e-05, 601, 20743, 1452
0.00204361, 0.000875153, 0.00116489, 7.9559e-05, 596, 19940, 1419
0.00163275, 0.000792032, 0.000837155, 8.4311e-05, 557, 18725, 1518
0.00398272, 0.0021766, 0.00180018, 0.000362178, 633, 20713, 1683
0.00193555, 0.000915527, 0.00101527, 8.6682e-05, 614, 21003, 1749
0.0022621, 0.00107346, 0.00118389, 7.3621e-05, 631, 21094, 1287
0.00173606, 0.00083003, 0.000902465, 7.8374e-05, 612, 20498, 1452
0.00212079, 0.0010699, 0.00104615, 0.000105682, 605, 20121, 1782
0.0016185, 0.000824093, 0.000790845, 4.631e-05, 581, 19530, 1089
0.0033225, 0.00187262, 0.00144632, 0.000122304, 626, 21125, 1617
0.00202817, 0.000902465, 0.00112214, 0.000109248, 625, 20440, 1848
0.00242359, 0.00119695, 0.00122308, 9.4997e-05, 615, 20906, 1584
0.00241528, 0.00118983, 0.00121952, 0.00010806, 622, 20768, 1650
0.001685, 0.00083478, 0.000846655, 4.8684e-05, 587, 19890, 957
0.00356236, 0.00203648, 0.00152232, 9.9746e-05, 610, 20449, 1287
0.00236422, 0.000822905, 0.00153775, 0.000109245, 610, 20504, 1650
0.00186905, 0.0010794, 0.000784907, 6.0562e-05, 570, 19612, 1320
0.00174318, 0.000840718, 0.000897715, 8.9063e-05, 621, 20458, 1683
0.00184649, 0.000847842, 0.000995086, 8.6687e-05, 617, 20616, 1617
0.00180374, 0.000864466, 0.000935713, 7.3618e-05, 616, 20356, 1386
0.00333437, 0.00184887, 0.00148076, 0.000121123, 604, 20415, 1683
0.00215642, 0.00119933, 0.000952339, 7.5996e-05, 610, 20802, 1419
0.00180849, 0.000853779, 0.00095115, 5.8185e-05, 588, 20526, 1122
0.00184412, 0.000879903, 0.00096065, 8.0748e-05, 597, 20199, 1188
