TIME_STAMPE,EPX_TRAJ_FRONTEND,EXP_TRAJ_OPT,GENERATE_EXP_TRAJ,BACK_TRAJ_FRONTEND,BACK_TRAJ_OPT,GENERATE_BACK_TRAJ,TOTAL_REPLAN,VISUALIZATION
18.003, 0.00422304, 0.00100413, 0.00524616, 0, 0, 1.187e-06, 0.00531975, 7.121e-06
18.106, 0.00665147, 0.00212814, 0.00880691, 0, 0, 1.187e-06, 0.00890423, 7.122e-06
18.205, 0.00476902, 0.00104686, 0.00583606, 0, 0, 1.187e-06, 0.0059227, 5.935e-06
18.309, 0.00833095, 0.00106704, 0.00942292, 0, 0, 0, 0.00950837, 9.495e-06
18.404, 0.0032557, 0.000802353, 0.0040818, 0, 0, 0, 0.00416488, 7.122e-06
18.504, 0.00439395, 0.000969708, 0.0053874, 0, 0, 1.187e-06, 0.00547167, 7.122e-06
18.603, 0.00387646, 0.000680101, 0.00457911, 0, 0, 1.187e-06, 0.00465982, 5.935e-06
18.704, 0.00385153, 0.000667046, 0.00454232, 0, 0, 1.187e-06, 0.00461947, 8.306e-06
18.804, 0.00335778, 0.000748943, 0.0041269, 0, 0, 1.187e-06, 0.00421236, 5.934e-06
18.906, 0.0045981, 0.000931728, 0.00555713, 0, 0, 1.187e-06, 0.00564733, 7.12e-06
19.005, 0.00374353, 0.000460523, 0.00422541, 0, 0, 1.187e-06, 0.0043120619, 0, 0, 0,19.102, 0.00352395, 0.019.109, 0.00966504, 0.000105635, 0.00982408, 0, 0, 0, 0.0098619.202, 0.0050719.2, 0, 0, 0, 0, 0, 0, 3.561e-06, 0
19.3, 0, 0, 0, 0, 0, 0, 3.56e-06, 0
19.406, 0.00588827, 0.000113944, 0.00606275, 0, 0, 0, 0.00610073, 3.56e-06
19.5, 0, 0, 0, 0, 0, 0, 3.561e-06, 0
19.6, 0, 0, 0, 0, 0, 0, 3.561e-06, 0
19.706, 0.00540283, 7.0028e-05, 0.00552864, 0, 0, 0, 0.00556781, 3.561e-06
19.8, 0, 0, 0, 0, 0, 0, 4.748e-06, 0
19.9, 0, 0, 0, 0, 0, 0, 5.935e-06, 0
20.016, 0.00933032, 0.00619331, 0.0155497, 0, 0, 0, 0.0156518, 1.187e-06
20.1, 0, 0, 0, 0, 0, 0, 3.561e-06, 0
20.2, 0, 0, 0, 0, 0, 0, 4.748e-06, 0
20.3, 0, 0, 0, 0, 0, 0, 8.308e-06, 0
20.4, 0, 0, 0, 0, 0, 0, 4.748e-06, 0
20.5, 0, 0, 0, 0, 0, 0, 3.561e-06, 0
20.609, 0.00732325, 0.00264444, 0.00998786, 0, 0, 1.187e-06, 0.0100591, 9.496e-06
20.705, 0.00587047, 0.0013875, 0.00727814, 0, 0, 1.187e-06, 0.00735173, 4.748e-06
20.812, 0.0101054, 0.0019501, 0.0120851, 0, 0, 1.186e-06, 0.0121789, 7.121e-06
20.915, 0.0124365, 0.00326282, 0.0157313, 0, 0, 1.187e-06, 0.0158275, 7.121e-06
21.01, 0.011081, 0.00251269, 0.0136198, 0, 0, 1.187e-06, 0.0137231, 5.935e-06
21.109, 0.008941, 0.00209609, 0.011062, 0, 0, 1.187e-06, 0.0111653, 7.121e-06
21.207, 0.00703601, 0.00207353, 0.00913565, 0, 0, 1.187e-06, 0.00923298, 7.121e-06
21.309, 0.00829651, 0.001397, 0.00971605, 0, 0, 1.187e-06, 0.00980033, 8.307e-06
21.409, 0.00971012, 0.00290556, 0.0126454, 0, 0, 1.187e-06, 0.0127486, 8.309e-06
21.507, 0.00644018, 0.00182784, 0.00829414, 0, 0, 1.187e-06, 0.00837485, 7.122e-06
21.608, 0.00828464, 8.5458e-05, 0.00841757, 0, 0, 0, 0.00845199, 3.561e-06
21.7, 0, 0, 0, 0, 0, 0, 5.935e-06, 0
21.8, 0, 0, 0, 0, 0, 0, 4.748e-06, 0
21.904, 0.0057577, 7.2402e-05, 0.00588233, 0, 0, 0, 0.00591912, 3.561e-06
22, 0, 0, 0, 0, 0, 0, 4.748e-06, 0
22.1, 0, 0, 0, 0, 0, 0, 4.748e-06, 0
22.206, 0.00630724, 9.614e-05, 0.00646035, 0, 0, 0, 0.00650308, 3.561e-06
22.3, 0, 0, 0, 0, 0, 0, 4.747e-06, 0
22.4, 0, 0, 0, 0, 0, 0, 3.561e-06, 0
22.506, 0.00791907, 0.000110383, 0.0080793, 0, 0, 0, 0.00811728, 3.561e-06
22.6, 0, 0, 0, 0, 0, 0, 4.748e-06, 0
22.7, 0, 0, 0, 0, 0, 0, 4.748e-06, 0
22.806, 0.00569123, 0.000925789, 0.00664195, 0, 0, 1.187e-06, 0.00671672, 7.122e-06
22.905, 0.0054586, 0.00172695, 0.00720692, 0, 0, 1.187e-06, 0.00729, 5.934e-06
23.006, 0.00704906, 0.00284977, 0.00992612, 0, 0, 1.187e-06, 0.0100294, 8.309e-06
23.108, 0.00632267, 0.000967331, 0.00732561, 0, 0, 1.187e-06, 0.00742887, 8.309e-06
23.22, 0.0168636, 0.00377912, 0.0206724, 0, 0, 1.186e-06, 0.020797, 8.309e-06
23.316, 0.0142227, 0.00306697, 0.0173146, 0, 0, 1.187e-06, 0.0174084, 8.308e-06
23.417, 0.0137978, 0.00237738, 0.0162013, 0, 0, 1.187e-06, 0.0162975, 8.309e-06
23.517, 0.0169241, 0.00209252, 0.0190452, 0, 0, 1.187e-06, 0.0191425, 5.935e-06
23.616, 0.0151022, 0.00307766, 0.0182096, 0, 0, 1.187e-06, 0.0183045, 7.121e-06
23.717, 0.0164755, 0.0032913, 0.0197965, 0, 0, 1.186e-06, 0.0199116, 7.122e-06
23.813, 0.014815, 6.8841e-05, 0.0149301, 0, 0, 0, 0.0149681, 3.561e-06
23.9, 0, 0, 0, 0, 0, 0, 4.748e-06, 0
24, 0, 0, 0, 0, 0, 0, 4.747e-06, 0
24.111, 0.0122157, 0.000153111, 0.0124222, 0, 0, 0, 0.0124625, 3.561e-06
24.2, 0, 0, 0, 0, 0, 0, 2.374e-06, 0
24.3, 0, 0, 0, 0, 0, 0, 3.561e-06, 0
24.408, 0.00986677, 9.4953e-05, 0.0100175, 0, 0, 0, 0.0100567, 3.561e-06
24.5, 0, 0, 0, 0, 0, 0, 5.935e-06, 0
24.6, 0, 0, 0, 0, 0, 0, 2.373e-06, 0
24.707, 0.0108697, 7.2401e-05, 0.0109884, 0, 0, 0, 0.0110288, 3.56e-06
24.8, 0, 0, 0, 0, 0, 0, 4.748e-06, 0
24.9, 0, 0, 0, 0, 0, 0, 3.561e-06, 0
25.013, 0.0125682, 7.7149e-05, 0.0126928, 0, 0, 0, 0.0127272, 3.561e-06
25.1, 0, 0, 0, 0, 0, 0, 5.935e-06, 0
25.2, 0, 0, 0, 0, 0, 0, 4.747e-06, 0
25.311, 0.0104294, 0.000113943, 0.010605, 0, 0, 0, 0.0106525, 3.561e-06
25.4, 0, 0, 0, 0, 0, 0, 5.934e-06, 0
25.5, 0, 0, 0, 0, 0, 0, 3.561e-06, 0
25.608, 0.00733984, 7.1215e-05, 0.00746209, 0, 0, 0, 0.00750244, 2.373e-06
25.7, 0, 0, 0, 0, 0, 0, 4.747e-06, 0
25.8, 0, 0, 0, 0, 0, 0, 4.747e-06, 0
25.908, 0.00871546, 0.000100887, 0.00887569, 0, 0, 0, 0.00891486, 2.373e-06
26, 0, 0, 0, 0, 0, 0, 4.747e-06, 0
26.1, 0, 0, 0, 0, 0, 0, 3.56e-06, 0
26.208, 0.00715705, 0.000103261, 0.00731728, 0, 0, 0, 0.00735764, 4.748e-06
26.3, 0, 0, 0, 0, 0, 0, 3.561e-06, 0
26.4, 0, 0, 0, 0, 0, 0, 7.121e-06, 0
26.505, 0.00623126, 7.0027e-05, 0.0063547, 0, 0, 0, 0.00639387, 4.748e-06
26.601, 0, 0, 0, 0, 0, 0, 4.748e-06, 0
26.7, 0, 0, 0, 0, 0, 0, 4.747e-06, 0
